route_id,service_id,trip_id,shape_id,trip_headsign,bikes_allowed
211,12308,12308_18_1,211-168_170_175_176,"New Jersey",1
211,12308,12308_19_0,211-176_168_170,Manhattan,1
211,12295,12295_0_0,211-9819_170_9825_9954,,1
211,12295,12295_0_1,211-170_9825_9954_9819,,1
211,12295,12295_1_0,211-176_170_168,Manhattan,1
211,12295,12295_1_1,211-170_168_176,"New Jersey",1
211,12295,12295_2_0,211-9819_9825_170,Manhattan,1
211,12295,12295_2_1,211-9825_170_9819,,1
211,12295,12295_3_0,211-176_175_170_168,Manhattan,1
211,12295,12295_3_1,211-170_168_175,"New Jersey",1
211,12295,12295_4_0,211-9819_170_9825_9954_8306,,1
211,12295,12295_4_1,211-168_170_176,"New Jersey",1
211,12295,12295_5_0,211-175_170_168,Manhattan,1
211,12295,12295_5_1,211-168_170_175_176,"New Jersey",1
211,12295,12295_6_0,211-176_170_168,Manhattan,1
211,12295,12295_6_1,211-168_170_176_175,"New Jersey",1
211,12295,12295_7_0,211-9819_170_9825_9954_8306,,1
211,12295,12295_7_1,211-8306_9954_9825_170_9819,,1
211,12295,12295_8_0,211-175_170_168,Manhattan,1
211,12295,12295_8_1,211-168_170_175_176,"New Jersey",1
211,12295,12295_9_0,211-176_168_170,Manhattan,1
211,12295,12295_9_1,211-8306_9825_170_9819,,1
211,12295,12295_10_0,211-176_168_170,Manhattan,1
211,12295,12295_10_1,211-168_170_176_175,"New Jersey",1
211,12295,12295_11_0,211-9819_8306_9954_9825_170,Manhattan,1
211,12295,12295_11_1,211-8306_9954_9825_170_9819,,1
211,12295,12295_12_0,211-176_175_168_170,Manhattan,1
211,12295,12295_12_1,211-168_170_175_176,"New Jersey",1
211,12295,12295_13_0,211-175_176_168_170,Manhattan,1
211,12295,12295_13_1,211-168_170_176_175,"New Jersey",1
211,12295,12295_14_0,211-9819_8306_9954_9825_170,Manhattan,1
211,12295,12295_14_1,211-8306_9954_9825_170_9819,,1
211,12295,12295_15_0,211-176_175_168_170,Manhattan,1
211,12295,12295_15_1,211-168_170_176_175,"New Jersey",1
211,12295,12295_16_0,211-9819_9954_9825_170,Manhattan,1
211,12295,12295_16_1,211-9954_9825_170_9819,,1
211,12295,12295_17_0,211-175_176_168_170,Manhattan,1
211,12295,12295_17_1,211-168_170_175_176,"New Jersey",1
211,12295,12295_18_0,211-176_168_170,Manhattan,1
211,12295,12295_18_1,211-168_170_175_176,"New Jersey",1
9220,12262,12262_0_0,9220-184_185,,1
9220,12262,12262_0_1,9220-185_184,,1
9220,12262,12262_1_0,9220-184_185,,1
9220,12262,12262_1_1,9220-185_184,,1
9220,12259,12259_0_0,9220-7777_185,,1
9220,12259,12259_0_1,9220-185_7777,,1
9220,12256,12256_0_0,9220-7777_185,,1
9220,12256,12256_0_1,9220-185_7777,,1
9220,12256,12256_1_0,9220-7777_185,,1
9220,12256,12256_1_1,9220-185_7777,,1
270,12247,12247_0_0,270-186_184,"Martha’s Vineyard",1
270,12247,12247_0_1,270-184_186,"New Bedford",1
270,12247,12247_1_0,270-186_184,"Martha’s Vineyard",1
270,12247,12247_1_1,270-184_186,"New Bedford",1
270,12247,12247_2_0,270-186_184,"Martha’s Vineyard",1
270,12247,12247_2_1,270-184_186,"New Bedford",1
270,12244,12244_0_0,270-186_184,"Martha’s Vineyard",1
270,12244,12244_0_1,270-184_186,"New Bedford",1
