trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
ss-ny-04,09:00:00,09:00:00,175,4,1,0
ss-ny-05,10:45:00,10:45:00,168,1,0,1
ss-ny-05,11:00:00,11:00:00,170,2,0,1
ss-ny-05,11:35:00,11:35:00,sandy-hook-beach,3,1,0
ss-ny-05,11:55:00,11:55:00,176,4,1,0
ss-ny-06,13:05:00,13:05:00,168,1,0,1
ss-ny-06,13:25:00,13:25:00,170,2,0,1
ss-ny-06,14:05:00,14:05:00,175,3,1,0
ss-ny-06,14:15:00,14:15:00,176,4,1,0
ss-ny-07,14:40:00,14:40:00,168,1,0,1
ss-ny-07,15:00:00,15:00:00,170,2,0,1
ss-ny-07,15:40:00,15:40:00,176,3,1,0
ss-ny-07,15:55:00,15:55:00,175,4,1,0
ss-ny-08,14:25:00,14:25:00,8306,1,0,1
ss-ny-08,14:40:00,14:40:00,9954,2,0,1
ss-ny-08,14:50:00,14:50:00,9825,3,0,1
ss-ny-08,15:05:00,15:05:00,170,4,0,1
ss-ny-08,15:45:00,15:45:00,9819,5,1,0
ss-ny-09,15:55:00,15:55:00,168,1,0,1
ss-ny-09,16:15:00,16:15:00,170,2,0,1
ss-ny-09,16:55:00,16:55:00,175,3,1,0
ss-ny-09,17:05:00,17:05:00,176,4,1,0
ss-ny-10,16:00:00,16:00:00,8306,1,0,1
ss-ny-10,16:15:00,16:15:00,9825,2,0,1
ss-ny-10,16:30:00,16:30:00,170,3,0,1
ss-ny-10,17:15:00,17:15:00,9819,4,1,0
ss-ny-11,16:25:00,16:25:00,168,1,0,1
ss-ny-11,16:40:00,16:40:00,170,2,0,1
ss-ny-11,17:20:00,17:20:00,176,3,1,0
ss-ny-11,17:35:00,17:35:00,175,4,1,0
ss-ny-12,16:40:00,16:40:00,8306,1,0,1
ss-ny-12,16:55:00,16:55:00,9954,2,0,1
ss-ny-12,17:05:00,17:05:00,9825,3,0,1
ss-ny-12,17:20:00,17:20:00,170,4,0,1
ss-ny-12,18:05:00,18:05:00,9819,5,1,0
ss-ny-13,17:10:00,17:10:00,168,1,0,1
ss-ny-13,17:30:00,17:30:00,170,2,0,1
ss-ny-13,18:10:00,18:10:00,175,3,1,0
ss-ny-13,18:20:00,18:20:00,176,4,1,0
ss-ny-14,18:00:00,18:00:00,168,1,0,1
ss-ny-14,18:20:00,18:20:00,170,2,0,1
ss-ny-14,19:00:00,19:00:00,176,3,1,0
ss-ny-14,19:20:00,19:20:00,175,4,1,0
ss-ny-15,18:05:00,18:05:00,8306,1,0,1
ss-ny-15,18:15:00,18:15:00,9954,2,0,1
ss-ny-15,18:25:00,18:25:00,9825,3,0,1
ss-ny-15,18:35:00,18:35:00,170,4,0,1
ss-ny-15,19:20:00,19:20:00,9819,5,1,0
ss-ny-16,18:30:00,18:30:00,168,1,0,1
ss-ny-16,18:45:00,18:45:00,170,2,0,1
ss-ny-16,19:30:00,19:30:00,176,3,1,0
ss-ny-16,19:40:00,19:40:00,175,4,1,0
ss-ny-17,19:05:00,19:05:00,9954,1,0,1
ss-ny-17,19:20:00,19:20:00,9825,2,0,1
ss-ny-17,19:35:00,19:35:00,170,3,0,1
ss-ny-17,20:15:00,20:15:00,9819,4,1,0
ss-ny-18,19:30:00,19:30:00,168,1,0,1
ss-ny-18,19:45:00,19:45:00,170,2,0,1
ss-ny-18,20:25:00,20:25:00,175,3,1,0
ss-ny-18,20:35:00,20:35:00,176,4,1,0
ss-ny-19,20:20:00,20:20:00,168,1,0,1
ss-ny-19,20:40:00,20:40:00,170,2,0,1
ss-ny-19,21:20:00,21:20:00,175,3,1,0
ss-ny-20,21:45:00,21:45:00,168,1,0,1
ss-ny-20,22:00:00,22:00:00,170,2,0,1
ss-ny-20,22:40:00,22:40:00,175,3,1,0
ss-ny-20,22:55:00,22:55:00,176,4,1,0
ss-ny-21,22:30:00,22:30:00,168,1,0,1
ss-ny-21,22:45:00,22:45:00,170,2,0,1
ss-ny-21,23:25:00,23:25:00,175,3,1,0
ss-ny-21,23:35:00,23:35:00,176,4,1,0
