sheet,cell,cell_text,cell_note
weekend2,E10,RWSV 5 PM (K-350),"RWSV 5 PM
First departure is 14:55 at Pier 11
Last drop off is 20:57 at FPP"
weekend2,F10,RWSV 6 PM (K-350),"RWSV 6 PM
First departure is 15:45 at Pier 11
Last drop off is 21:47 at FPP"
weekend2,H10,RWY RKT (K-350),"RWSV 9
First pickup 10:26 from Pier 11

Last drop off 20:15 at Pier 11


"
weekend2,J10,AST 1 PM (T-150),"AST 1 PM
First pickup 15:26 at 90th

Last drop 21:29 at 90th St. 
"
weekend2,K10,AST 2 PM (K-299),"AST 2 PM
First departure 15:05 at Pier 11

Last drop 21:05 at Pier 11"
weekend2,L10,MID,"AST 3 PM
First departure 14:17 at Pier 11.

Last drop off 20:59 at E. 90th
"
weekend2,A18,ERF 1 AM (T) ,"ERF 1 AM
First departure 08:35 at 34th St

Last drop 15:08 at Pier 11"
weekend2,B18,ERF 2 AM (T),"ERF 2 AM
First departure 09:05 at E 34th St

Last drop 15:48 at Pier 11"
weekend2,C18,ERF 3 AM (T),"ERF 3 AM
First departure 08:47 at Pier 11

Last drop off 14:42 at Pier 11"
weekend2,D18,ERF 4  (T),"ERF 4 
First departure 10:43 at E 34th St

Last drop off 20:56 at Pier 11"
weekend2,E18,ERF 5 (T),"ERF 5
First departure 10:32 at Pier 11

Last drop off 20:39 at Pier 11"
weekend2,F18,ERF 6  (T),"ERF 6
First departure 11:00 at Pier 11

Last drop off 21:05 at 34th St. "
weekend2,G18,ERF 7  (T),"ERF 7
First departure 11:13 at Pier 11

Last drop off 21:17 at 34th St. "
weekend2,H18,STG 1 AM (T),"STG-BK 1 AM
First pickup 09:17 at Pier 11

Last drop 15:31 at Pier 79"
weekend2,I18,STG 2 AM (T),"STG-BK 2 AM
First pickup 09:04 at Pier 79

Last drop 15:31 at Pier 11"
weekend2,J18,STG 3 AM (T),"STG-BK 3 AM
First pickup 09:55 at Pier 79

Last drop 16:09 at Pier 11"
weekend2,K18,STG 4  (T),"STG-BK 4 AM
First pickup 11:04 at Pier 79

Last drop 21:37 at Pier 79"
weekend2,L18,SBK 1 AM (T),"SBK 1 AM
First pickup 08:23 at Bay Ridge

Last drop 14:59 at Bay Ridge"
weekend2,M18,SBK 2 AM (T),"SBK 2 AM
First departure 08:21 at E 34th.

Last drop 15:00 at 34th St"
weekend2,N18,SBK 3 (T),"SBK 2 AM
First departure 11:11 at Bay Ridge 

Last drop 20:27 at Bay RIdge"
weekend2,O18,SBK 4 (T),"SBK 2 AM
First departure 11:05 at E 34th.

Last drop 21:27 at Bay Ridge"
weekend2,A26,ERF 1 PM (T) ,"ERF 1 PM
First departure 15:42 at Pier 11

Last drop 21:34 at Pier 11"
weekend2,B26,ERF 2 PM (T),"ERF 2 PM
First departure 16:21 at Pier 11

Last drop off 22:14 at Pier 11"
weekend2,C26,ERF 3 PM (T),"ERF 3 PM
First departure 15:05 at Pier 11

Last drop off 21:53 at E34th St"
weekend2,D26,,"ERF 6
First departure 11:00 at Pier 11

Last drop off 21:05 at 34th St. "
weekend2,E26,,"ERF 7
First departure 11:13 at Pier 11

Last drop off 21:17 at 34th St. "
weekend2,H26,STG 1 PM (T),"STG-BK 1 PM
First departure 15:49 at Pier 79

Last drop 22:15 at Pier 11
"
weekend2,I26,STG 2 PM (T),"STG-BK 2 PM
First departure 15:37 at Pier 11

Last drop 22:15 at Pier 79
"
weekend2,J26,STG 3 PM (T),"STG-BK 3 PM
First departure 16:15 at Pier 11

Last Drop off is 21:37 Pier 11"
weekend2,K26,STG 4 PM (T),"STG-BK 4 PM
First departure 13:50 at Pier 79

Last drop 21:12 at Pier 79
"
weekend2,L26,SBK 1 PM (T),"SBK 1 PM
First departure 15:05 at Bay Ridge
Last drop 22:07 at Bay Ridge"
weekend2,M26,SBK 2 PM (T),"SBK 2 PM
Fist departure 15:06 at 34th St
Last drop off 22:08 at 34th St
"
